"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"18 Απριλίου","정교 주일을 맞아, 한국정교회 대교구는 서울 성 니콜라스 대성당에서 성화상 행렬을 하며 우리 신앙의 승리를 경축하였습니다. On the Sunday of Orthodoxy, the Orthodox Metropolis of Korea celebrated the triumph of our faith with the procession of Holy Icons at St. Nicholas Cathedral in Seoul.  정교 주일 Sunday of Orthodoxy 성 니콜라스 대성당, 서울 St. Nicholas Cathedral, Seoul 2026 #orthodox #icons #korea  #sundayoforthodoxy #greatlent","https://www.tiktok.com/@orthodox.korea/video/7612545815780805904","2 Μαρτίου","26806","481","3712","205886"
"18 Απριλίου","Χαιρετισμοί της Θεοτόκου στον Καθεδρικό Ι.Ν. Αγίου Νικολάου, Σεούλ, Νότια Κορέα ☦️🇰🇷 성모 기립 찬양 성 니콜라스 대성당, 서울 Salutations to the Theotokos St. Nicholas Cathedral, Seoul (2026) #orthodox #christianity #Korea #faith #jesus       ","https://www.tiktok.com/@orthodox.korea/video/7614439223717842183","7 Μαρτίου","26036","501","2279","201221"
"18 Απριλίου","☦️ “Liturgy after the Liturgy” After the Divine Liturgy at St. Nicholas Cathedral, every Sunday the “liturgy” continues with the “Agape” meal, the community’s common meal. Afterwards, the various parish groups, including the youth association (Syndesmos), hold spiritual talks and discussions with both Korean and English speaking participants. Fellowship often continues with coffee time. ☦️ 성찬예배 이후의 예배 : «전례 후의 전례» 성 니콜라스 대성당에서 거행되는 성찬예배 후에는 매 주일마다 공동체의 오찬이자 예배의 연장선인 “사랑의 오찬(Agape Meal)”을 통해 예배를 계속 이어갑니다. 사랑의 오찬 이후 성당의 여러 모임들, 특히 청년회 “신데즈모스(Syndesmos)”는 한국어와 영어를 사용하는 교우들이 커피 한잔을 나누며 영적 대화와 토론에 참여하여 교제와 친교를 나눕니다. «Η Λειτουργία μετά τη Λειτουργία» Μετά τη Θεία Λειτουργία στον Καθεδρικό Ναό του Αγίου Νικολάου, κάθε Κυριακή συνεχίζεται η «λειτουργία» με την «Αγάπη», το κοινό γεύμα της κοινότητας. Στη συνέχεια, οι διάφορες ομάδες της ενορίας, συμπεριλαμβανομένου του Συνδέσμου Νέων (Syndesmos), πραγματοποιούν πνευματικές ομιλίες και συζητήσεις με συμμετέχοντες που μιλούν κορεατικά και αγγλικά. Η επικοινωνία και η σύνδεση μεταξύ των αδελφών συνεχίζονται συχνά κατά την ώρα του καφέ. #orthodox #Korea #christianity #lent #christiancommunity ","https://www.tiktok.com/@orthodox.korea/video/7615099844952182024","9 Μαρτίου","9372","134","654","71847"
"18 Απριλίου","2026 성 대 토요일 | Holy Saturday 2026 St. Nicholas Orthodox Cathedral, Seoul, Korea 성 니콜라스 대성당, 서울 ☦️🇰🇷 #holyweek #christianity #korea #orthodox #정교회","https://www.tiktok.com/@orthodox.korea/video/7627433152738381072","11 Απριλίου","7083","86","674","60736"
"18 Απριλίου","Σήμερα, Κυριακή της Σταυροπροσκυνήσεως, συνεχίζουμε το υπόλοιπο μισό της Αγίας και Μεγάλης Τεσσαρακοστής προσκυνώντας τον Τίμιο Σταυρό!  Ο Σταυρός δεν είναι απλώς ένα σύμβολο, αλλά το νέο «Ξύλο της Ζωής». Όπως στην Παλαιά Διαθήκη ο Μωυσής άπλωσε τα χέρια του σταυρωτά για να σώσει τον λαό του Θεού και έριξε ένα ξύλο για να γλυκάνει τα πικρά νερά της Μερρά, έτσι και ο Σταυρός του Χριστού έρχεται στη μέση της Σαρακοστής για να γλυκάνει τον δικό μας αγώνα και να μετατρέψει τον πόνο σε Ανάσταση.  Από την ύψωση του Τιμίου Σταυρού στην Κορέα! Today, on the Sunday of the Veneration of the Holy Cross, we continue the remaining half of Holy and Great Lent by venerating the Precious Cross! The Cross is not just a symbol, but the new “Tree of Life.” Just as in the Old Testament Moses stretched out his hands in the shape of a cross to save God’s people and threw a piece of wood to sweeten the bitter waters of Marah, so the Cross of Christ comes in the middle of Lent to sweeten our own struggle and transform pain into Resurrection. From the Elevation of the Precious Cross in Korea! ☦️🇰🇷 #orthodox #Korea #lent #cross  #christianity ","https://www.tiktok.com/@orthodox.korea/video/7617398220494310677","15 Μαρτίου","8104","149","618","60651"
"18 Απριλίου","에피타피오스 의식 | Epitaphios Service (Lamentations) 2026년 성 대 금요일 | Holy Friday 2026 St. Nicholas Orthodox Cathedral, Seoul, Korea 성 니콜라스 대성당, 서울 ☦️🇰🇷 #holyweek #christianity #korea #orthodox #επιταφιος ","https://www.tiktok.com/@orthodox.korea/video/7627283225613798674","11 Απριλίου","2825","77","233","23621"
"18 Απριλίου","그리스도께서 부활하셨습니다! Christ is Risen! Χριστός ἀνέστη! Христос воскресе! Hristos a înviat! . . . . . . . St. Nicholas Orthodox Cathedral, Seoul  서울 성 니콜라스 대성당 #Πασχα #Easter #부활절 #Korea #orthodox","https://www.tiktok.com/@orthodox.korea/video/7627521976235560200","11 Απριλίου","2596","154","201","23580"
"18 Απριλίου","Palm Sunday | 성지주일 | Κυριακή των Βαΐων 서울 성 니콜라스 대성당 2026 St. Nicholas Orthodox Cathedral, Seoul  Seoul#palmsunday #orthodox #Korea #christian #holyweek ","https://www.tiktok.com/@orthodox.korea/video/7625239446245494024","5 Απριλίου","2556","97","273","21211"
"18 Απριλίου","사랑의 대만과 및 오찬 | Agape Vespers & Feast St. Nicholas Orthodox Cathedral, Seoul, Korea 성 니콜라스 대성당, 서울 ☦️🇰🇷 #Easter #Pascha #korea #orthodoxchristian #정교회 ","https://www.tiktok.com/@orthodox.korea/video/7628026606061227265","13 Απριλίου","2495","113","373","19764"
"18 Απριλίου","에티오피아 부활 성가 | Ethiopian Paschal Hymns 성 니콜라스 대성당, 서울 St. Nicholas Orthodox Cathedral, Seoul, South Korea Orthodox Metropolis of Korea Pascha 2026 🇰🇷🇪🇹 #부활절 #Pascha #christianity #korea #정교회","https://www.tiktok.com/@orthodox.korea/video/7629282252756651282","16 Απριλίου","3731","52","186","24402"
