"Date","Hour","Active followers"
"20 Μαΐου","0","1331"
"20 Μαΐου","1","912"
"20 Μαΐου","2","644"
"20 Μαΐου","3","470"
"20 Μαΐου","4","425"
"20 Μαΐου","5","477"
"20 Μαΐου","6","700"
"20 Μαΐου","7","1067"
"20 Μαΐου","8","1202"
"20 Μαΐου","9","1226"
"20 Μαΐου","10","1249"
"20 Μαΐου","11","1358"
"20 Μαΐου","12","1409"
"20 Μαΐου","13","1489"
"20 Μαΐου","14","1607"
"20 Μαΐου","15","1640"
"20 Μαΐου","16","1695"
"20 Μαΐου","17","1724"
"20 Μαΐου","18","1684"
"20 Μαΐου","19","1681"
"20 Μαΐου","20","1688"
"20 Μαΐου","21","1793"
"20 Μαΐου","22","1859"
"20 Μαΐου","23","1695"
"21 Μαΐου","0","1246"
"21 Μαΐου","1","863"
"21 Μαΐου","2","593"
"21 Μαΐου","3","448"
"21 Μαΐου","4","403"
"21 Μαΐου","5","487"
"21 Μαΐου","6","725"
"21 Μαΐου","7","1057"
"21 Μαΐου","8","1156"
"21 Μαΐου","9","1217"
"21 Μαΐου","10","1267"
"21 Μαΐου","11","1311"
"21 Μαΐου","12","1401"
"21 Μαΐου","13","1571"
"21 Μαΐου","14","1626"
"21 Μαΐου","15","1660"
"21 Μαΐου","16","1702"
"21 Μαΐου","17","1655"
"21 Μαΐου","18","1680"
"21 Μαΐου","19","1674"
"21 Μαΐου","20","1726"
"21 Μαΐου","21","1771"
"21 Μαΐου","22","1888"
"21 Μαΐου","23","1723"
"22 Μαΐου","0","1313"
"22 Μαΐου","1","880"
"22 Μαΐου","2","626"
"22 Μαΐου","3","502"
"22 Μαΐου","4","410"
"22 Μαΐου","5","472"
"22 Μαΐου","6","697"
"22 Μαΐου","7","1077"
"22 Μαΐου","8","1183"
"22 Μαΐου","9","1224"
"22 Μαΐου","10","1280"
"22 Μαΐου","11","1363"
"22 Μαΐου","12","1459"
"22 Μαΐου","13","1569"
"22 Μαΐου","14","1596"
"22 Μαΐου","15","1630"
"22 Μαΐου","16","1653"
"22 Μαΐου","17","1672"
"22 Μαΐου","18","1619"
"22 Μαΐου","19","1663"
"22 Μαΐου","20","1690"
"22 Μαΐου","21","1774"
"22 Μαΐου","22","1828"
"22 Μαΐου","23","1690"
"23 Μαΐου","0","1349"
"23 Μαΐου","1","938"
"23 Μαΐου","2","693"
"23 Μαΐου","3","523"
"23 Μαΐου","4","438"
"23 Μαΐου","5","464"
"23 Μαΐου","6","639"
"23 Μαΐου","7","901"
"23 Μαΐου","8","1117"
"23 Μαΐου","9","1297"
"23 Μαΐου","10","1398"
"23 Μαΐου","11","1449"
"23 Μαΐου","12","1558"
"23 Μαΐου","13","1559"
"23 Μαΐου","14","1560"
"23 Μαΐου","15","1648"
"23 Μαΐου","16","1657"
"23 Μαΐου","17","1615"
"23 Μαΐου","18","1609"
"23 Μαΐου","19","1634"
"23 Μαΐου","20","1649"
"23 Μαΐου","21","1755"
"23 Μαΐου","22","1776"
"23 Μαΐου","23","1680"
"24 Μαΐου","0","1454"
"24 Μαΐου","1","1088"
"24 Μαΐου","2","732"
"24 Μαΐου","3","544"
"24 Μαΐου","4","490"
"24 Μαΐου","5","464"
"24 Μαΐου","6","588"
"24 Μαΐου","7","833"
"24 Μαΐου","8","1015"
"24 Μαΐου","9","1198"
"24 Μαΐου","10","1322"
"24 Μαΐου","11","1475"
"24 Μαΐου","12","1532"
"24 Μαΐου","13","1617"
"24 Μαΐου","14","1629"
"24 Μαΐου","15","1621"
"24 Μαΐου","16","1673"
"24 Μαΐου","17","1675"
"24 Μαΐου","18","1692"
"24 Μαΐου","19","1709"
"24 Μαΐου","20","1802"
"24 Μαΐου","21","1847"
"24 Μαΐου","22","1924"
"24 Μαΐου","23","1706"
"25 Μαΐου","0","1382"
"25 Μαΐου","1","991"
"25 Μαΐου","2","710"
"25 Μαΐου","3","510"
"25 Μαΐου","4","454"
"25 Μαΐου","5","505"
"25 Μαΐου","6","655"
"25 Μαΐου","7","992"
"25 Μαΐου","8","1123"
"25 Μαΐου","9","1252"
"25 Μαΐου","10","1329"
"25 Μαΐου","11","1352"
"25 Μαΐου","12","1446"
"25 Μαΐου","13","1560"
"25 Μαΐου","14","1604"
"25 Μαΐου","15","1630"
"25 Μαΐου","16","1684"
"25 Μαΐου","17","1699"
"25 Μαΐου","18","1695"
"25 Μαΐου","19","1701"
"25 Μαΐου","20","1726"
"25 Μαΐου","21","1870"
"25 Μαΐου","22","1887"
"25 Μαΐου","23","1774"
"26 Μαΐου","0","1413"
"26 Μαΐου","1","928"
"26 Μαΐου","2","673"
"26 Μαΐου","3","531"
"26 Μαΐου","4","457"
"26 Μαΐου","5","493"
"26 Μαΐου","6","660"
"26 Μαΐου","7","1013"
"26 Μαΐου","8","1160"
"26 Μαΐου","9","1275"
"26 Μαΐου","10","1291"
"26 Μαΐου","11","1328"
"26 Μαΐου","12","1428"
"26 Μαΐου","13","1543"
"26 Μαΐου","14","1618"
"26 Μαΐου","15","1673"
"26 Μαΐου","16","1706"
"26 Μαΐου","17","1682"
"26 Μαΐου","18","1681"
"26 Μαΐου","19","1684"
"26 Μαΐου","20","1767"
"26 Μαΐου","21","1882"
"26 Μαΐου","22","1852"
"26 Μαΐου","23","1765"
"27 Μαΐου","0","1417"
"27 Μαΐου","1","954"
"27 Μαΐου","2","671"
"27 Μαΐου","3","0"
"27 Μαΐου","4","0"
"27 Μαΐου","5","0"
"27 Μαΐου","6","0"
"27 Μαΐου","7","0"
"27 Μαΐου","8","0"
"27 Μαΐου","9","0"
"27 Μαΐου","10","0"
"27 Μαΐου","11","0"
"27 Μαΐου","12","0"
"27 Μαΐου","13","0"
"27 Μαΐου","14","0"
"27 Μαΐου","15","0"
"27 Μαΐου","16","0"
"27 Μαΐου","17","0"
"27 Μαΐου","18","0"
"27 Μαΐου","19","0"
"27 Μαΐου","20","0"
"27 Μαΐου","21","0"
"27 Μαΐου","22","0"
"27 Μαΐου","23","0"
