"Date","Followers","Difference in followers from previous day"
"16 Φεβρουαρίου","21","0"
"17 Φεβρουαρίου","21","0"
"18 Φεβρουαρίου","21","0"
"19 Φεβρουαρίου","21","1"
"20 Φεβρουαρίου","22","1"
"21 Φεβρουαρίου","23","0"
"22 Φεβρουαρίου","23","0"
"23 Φεβρουαρίου","23","1"
"24 Φεβρουαρίου","24","0"
"25 Φεβρουαρίου","24","0"
"26 Φεβρουαρίου","24","0"
"27 Φεβρουαρίου","24","0"
"28 Φεβρουαρίου","24","1"
"1 Μαρτίου","25","108"
"2 Μαρτίου","133","549"
"3 Μαρτίου","682","238"
"4 Μαρτίου","920","143"
"5 Μαρτίου","1063","63"
"6 Μαρτίου","1126","528"
"7 Μαρτίου","1654","426"
"8 Μαρτίου","2080","364"
"9 Μαρτίου","2444","173"
"10 Μαρτίου","2617","134"
"11 Μαρτίου","2751","98"
"12 Μαρτίου","2849","75"
"13 Μαρτίου","2924","54"
"14 Μαρτίου","2978","139"
"15 Μαρτίου","3117","53"
"16 Μαρτίου","3170","49"
"17 Μαρτίου","3219","28"
"18 Μαρτίου","3247","30"
"19 Μαρτίου","3277","28"
"20 Μαρτίου","3305","12"
"21 Μαρτίου","3317","19"
"22 Μαρτίου","3336","16"
"23 Μαρτίου","3352","11"
"24 Μαρτίου","3363","11"
"25 Μαρτίου","3374","17"
"26 Μαρτίου","3391","17"
"27 Μαρτίου","3408","17"
"28 Μαρτίου","3425","23"
"29 Μαρτίου","3448","20"
"30 Μαρτίου","3468","19"
"31 Μαρτίου","3487","15"
"1 Απριλίου","3502","12"
"2 Απριλίου","3514","19"
"3 Απριλίου","3533","32"
"4 Απριλίου","3565","68"
"5 Απριλίου","3633","45"
"6 Απριλίου","3678","30"
"7 Απριλίου","3708","21"
"8 Απριλίου","3729","54"
"9 Απριλίου","3783","559"
"10 Απριλίου","4342","194"
"11 Απριλίου","4536","212"
"12 Απριλίου","4748","106"
"13 Απριλίου","4854","43"
"14 Απριλίου","4897","26"
"15 Απριλίου","4923","110"
"16 Απριλίου","5033","0"
