"Date","Video Views","Profile Views","Likes","Comments","Shares"
"6 Απριλίου","11771","159","1522","48","134"
"7 Απριλίου","7358","91","1065","20","68"
"8 Απριλίου","6364","87","908","18","37"
"9 Απριλίου","12593","188","1951","56","132"
"10 Απριλίου","18817","1436","2189","33","176"
"11 Απριλίου","80477","1061","9260","194","798"
"12 Απριλίου","67013","1216","8165","166","800"
"13 Απριλίου","25356","383","2911","99","389"
"14 Απριλίου","8511","126","1079","41","123"
"15 Απριλίου","5270","85","577","10","30"
"16 Απριλίου","21500","433","3023","61","195"
"17 Απριλίου","12583","211","1714","27","109"
"18 Απριλίου","9486","156","1119","9","68"
"19 Απριλίου","4589","67","517","4","101"
"20 Απριλίου","2912","49","337","4","27"
"21 Απριλίου","2072","41","260","2","26"
"22 Απριλίου","3972","77","459","4","18"
"23 Απριλίου","2515","37","337","6","12"
"24 Απριλίου","1580","30","160","4","7"
"25 Απριλίου","1329","26","121","0","8"
"26 Απριλίου","1306","27","125","6","8"
"27 Απριλίου","1033","25","115","2","7"
"28 Απριλίου","1284","23","132","4","8"
"29 Απριλίου","980","19","124","3","10"
"30 Απριλίου","1104","22","130","-14","7"
"1 Μαΐου","1303","24","197","2","14"
"2 Μαΐου","1136","22","136","2","16"
"3 Μαΐου","1039","13","118","1","3"
"4 Μαΐου","800","12","89","-2","7"
"5 Μαΐου","3263","66","405","6","22"
"6 Μαΐου","1074","19","111","-1","3"
"7 Μαΐου","1055","23","106","1","6"
"8 Μαΐου","826","16","96","2","13"
"9 Μαΐου","1049","25","110","4","5"
"10 Μαΐου","914","16","109","1","4"
"11 Μαΐου","858","14","95","3","6"
"12 Μαΐου","2041","28","157","2","11"
"13 Μαΐου","874","12","116","6","6"
"14 Μαΐου","901","16","106","0","4"
"15 Μαΐου","1006","16","133","0","13"
"16 Μαΐου","956","17","118","-4","2"
"17 Μαΐου","804","24","97","-20","4"
"18 Μαΐου","665","15","65","0","2"
"19 Μαΐου","693","9","86","1","4"
"20 Μαΐου","666","15","58","-3","6"
"21 Μαΐου","661","9","85","1","3"
"22 Μαΐου","700","12","73","0","6"
"23 Μαΐου","603","9","54","0","3"
"24 Μαΐου","753","18","66","0","4"
"25 Μαΐου","803","18","47","4","2"
"26 Μαΐου","794","21","76","0","6"
"27 Μαΐου","6799","105","712","7","55"
"28 Μαΐου","1588","28","172","2","14"
"29 Μαΐου","1219","28","129","-1","17"
"30 Μαΐου","33735","464","4644","112","351"
"31 Μαΐου","35182","426","5065","101","409"
"1 Ιουνίου","70839","894","9414","137","779"
"2 Ιουνίου","51154","660","6470","97","494"
"3 Ιουνίου","27126","387","3623","90","240"
"4 Ιουνίου","16760","249","2216","47","127"
